i,x,y,z,theta1, theta2, theta3
0,100, 50, -60,62.12, -32.51, 66.34
1,100, 50, -54.52,61.36, -37.08, 65.65
2,96.14, 48.61, -49.89,59.08, -40.01, 63.04
3,88.42, 47.05, -46.13,55.97, -41.06, 58.39
4,80.82, 47.08, -43.23,53.98, -41.37, 53.72
5,73.51, 48.65, -41.21,53.14, -40.87, 49.07
6,66.63, 51.72, -40.06,53.46, -39.56, 44.52
7,60.46, 56.09, -39.8,54.84, -37.56, 40.31
8,55.32, 61.36, -40.42,57.04, -35.07, 36.74
9,51.43, 67.1, -41.94,59.78, -32.3, 34.11
10,48.91, 72.85, -44.35,62.76, -29.43, 32.63
11,47.74, 78.33, -47.66,65.8, -26.53, 32.35
12,47.8, 83.4, -51.87,68.83, -23.63, 33.21
13,49.01, 87.96, -57,71.8, -20.71, 35.1
14,50, 90, -63.04,73.62, -17.13, 37.18
15,50, 90, -70,74.5, -12.72, 38.97
