tau,X,Y,Z
0,100, 50, -30
0.05,100, 50, -25.807
0.1,100, 50, -22.096
0.15,94.211, 48.07, -18.869
0.2,88.424, 47.05, -16.128
0.25,82.704, 46.922, -13.875
0.3,77.12, 47.67, -12.112
0.35,71.738, 49.277, -10.841
0.4,66.629, 51.718, -10.064
0.45,61.92, 54.893, -9.783
0.5,57.749, 58.638, -10
0.55,54.228, 62.771, -10.717
0.6,51.434, 67.1, -11.936
0.65,49.414, 71.433, -13.659
0.7,48.164, 75.632, -15.888
0.75,47.643, 79.638, -18.625
0.8,47.805, 83.402, -21.872
0.85,48.605, 86.873, -25.631
0.9,50, 90, -29.904
0.95,50, 90, -34.693
1,50, 90, -40
